Channel,SNR linear,SNR dB
1,34.10701284650585,15.328436847815523
2,17.34906528672252,12.392760813312853
3,16.475882052815532,12.168486742776599
4,22.928340247644396,13.603726178621505
5,23.861080240851845,13.776901011960746
6,32.88157396344588,15.169525980188252
7,19.573496284238328,12.916684077393196
8,9.363225954768666,9.714255039708252
9,27.01973231639073,14.316810421660168
10,23.31654711778832,13.676642373940474
11,24.39622388956195,13.873226103208143
12,28.319601850295033,14.520871432467093
13,25.94916275682337,14.141233500088523
14,27.817572392641136,14.443192269327184
15,26.106692476126373,14.167518534255361
16,25.54562247022778,14.073164896016221
Average,24.063177009177984,13.642714763921255
